,package,fileName,type,desc,priority,start,end,label,code,lineNum,statementNum,branchStatementNum,callNum,cycleComplexity,depth
5677,flink-core-1.10.0,StringValueComparator,RV_NEGATING_RESULT_OF_COMPARETO,BAD_PRACTICE,2,70,70,false,,6,3,0,1,1,2
3766,cassandra-all-3.11.8,TokenMetadata,JLM_JSR166_UTILCONCURRENT_MONITORENTER,MT_CORRECTNESS,2,829,829,false,,4,1,0,0,1,2
4341,cassandra-all-4.0-beta2,LoaderOptions,DM_EXIT,BAD_PRACTICE,3,598,598,false,,3,1,0,1,1,2
5489,commons-scxml-bb34cd3ac90ce8b5376eaaacef2076a295a01685,JSEvaluator,WMI_WRONG_MAP_ITERATOR,PERFORMANCE,2,288,288,false,,9,4,3,4,4,5
2252,cassandra-all-2.2.18,CqlParser,EI_EXPOSE_REP,MALICIOUS_CODE,2,262,262,false,MethodDeclaration Modifier public Annotation Override ReferenceType TypeComparator TypeArgument ? getFlatComparators ReturnStatement MemberReference comparators,4,1,0,0,1,2
5943,flink-core-1.6.4,DeltaIterationBase,EI_EXPOSE_REP,MALICIOUS_CODE,2,106,106,false,,3,2,0,1,1,3
2362,cassandra-all-2.2.18,DataRange,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,3,285,285,false,MethodDeclaration Modifier public setArgumentNames FormalParameter Modifier final ReferenceType String arg_names StatementExpression Assignment This MemberReference argNames MemberReference arg_names =,15,9,5,6,10,6
4965,commons-bcel-cfaa578439109afe801ef4448df55d5a17271604,BCELFactory,SF_SWITCH_FALLTHROUGH,STYLE,2,188,192,false,,16,11,7,0,6,4
4768,commons-bcel-af0e5ef6784e2bc028b17a1f7dbc2cc5dd5c348f,ExceptionTable,EI_EXPOSE_REP,MALICIOUS_CODE,2,114,114,false,,3,1,0,0,1,2
5302,commons-lang-b1a66d2da97297c4a0b4c64c6911fa121526a9f9,ArrayUtils,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,2,1259,1259,false,,3,1,0,2,1,2
4372,cassandra-all-4.0-beta2,Murmur3Partitioner,BC_UNCONFIRMED_CAST,STYLE,3,200,200,false,,4,1,0,0,1,3
1422,camel-core-2.25.2,IOHelper,DM_CONVERT_CASE,I18N,3,561,561,false,MethodDeclaration Modifier static public BasicType int skip FormalParameter ReferenceType PositionedByteRange src LocalVariableDeclaration Modifier final BasicType int VariableDeclarator start MethodInvocation src getPosition LocalVariableDeclaration BasicType byte VariableDeclarator header MethodInvocation src get StatementExpression Assignment MemberReference header MethodInvocation ord MemberReference header apply = SwitchStatement MemberReference header SwitchStatementCase FIXED_INT64 StatementExpression MethodInvocation src BinaryOperation + MethodInvocation src getPosition Literal 8 setPosition ReturnStatement BinaryOperation - MethodInvocation src getPosition MemberReference start End,9,5,2,5,3,4
5089,commons-codec-28f351340c2e26668228186bb8ee39ffbe4e6a3a,MurmurHash3,SF_SWITCH_FALLTHROUGH,STYLE,2,212,214,true,,10,8,4,0,3,4
5357,commons-lang-cf0778a5ad0ad876d4233816b46978679bebac35,BooleanUtils,NP_BOOLEAN_RETURN_NULL,BAD_PRACTICE,2,580,580,false,,7,3,2,0,3,3
6915,kylin-core-common-2.6.0,MemoryBudgetController,JLM_JSR166_LOCK_MONITORENTER,MT_CORRECTNESS,1,119,119,false,,10,6,3,1,4,4
2600,cassandra-all-3.0.22,BTreeRow,NS_DANGEROUS_NON_SHORT_CIRCUIT,STYLE,1,724,724,false,MethodDeclaration Modifier private ReferenceType TableParams build FormalParameter ReferenceType TableParams ReferenceType Builder builder IfStatement MethodInvocation MemberReference Option BLOOM_FILTER_FP_CHANCE hasOption StatementExpression MethodInvocation bloomFilterFpChance End IfStatement MethodInvocation MemberReference Option CACHING hasOption StatementExpression MethodInvocation builder MethodInvocation CachingParams MethodInvocation MemberReference Option CACHING getMap fromMap caching End IfStatement MethodInvocation MemberReference Option COMMENT hasOption StatementExpression MethodInvocation builder MethodInvocation MemberReference Option COMMENT getString comment End IfStatement MethodInvocation MemberReference Option COMPACTION hasOption StatementExpression MethodInvocation builder MethodInvocation CompactionParams MethodInvocation MemberReference Option COMPACTION getMap fromMap compaction End IfStatement MethodInvocation MemberReference Option COMPRESSION hasOption BlockStatement LocalVariableDeclaration ReferenceType Map TypeArgument ReferenceType String TypeArgument ReferenceType String VariableDeclarator compressionOpts MethodInvocation MemberReference Option COMPRESSION getMap IfStatement MethodInvocation compressionOpts MethodInvocation Option.CRC_CHECK_CHANCE MethodInvocation toLowerCase toString containsKey BlockStatement End End,4,2,1,1,2,3
5746,flink-core-1.11.2,DoubleValueComparator,RV_NEGATING_RESULT_OF_COMPARETO,BAD_PRACTICE,2,84,84,false,,5,2,0,1,1,2
4360,cassandra-all-4.0-beta2,MerkleTree,BC_UNCONFIRMED_CAST,STYLE,3,955,955,false,,3,1,0,1,1,3
2083,cassandra-all-2.1.21,SetType,BC_UNCONFIRMED_CAST,STYLE,3,107,107,false,MethodDeclaration Modifier public Annotation Override putNormalizedKey FormalParameter ReferenceType DoubleValue record FormalParameter ReferenceType MemorySegment target FormalParameter BasicType int offset FormalParameter BasicType int numBytes LocalVariableDeclaration ReferenceType NormalizableKey TypeArgument ? VariableDeclarator key Cast ReferenceType NormalizableKey TypeArgument ? MemberReference record,5,4,0,2,1,2
229,camel-core-2.21.5,ManagedThreads,NP_BOOLEAN_RETURN_NULL,BAD_PRACTICE,1,47,47,true,MethodDeclaration Modifier public Annotation Override BasicType int specialStateTransition FormalParameter BasicType int s FormalParameter ReferenceType IntStream _input NoViableAltException LocalVariableDeclaration ReferenceType TokenStream VariableDeclarator input Cast ReferenceType TokenStream MemberReference _input SwitchStatement MemberReference s SwitchStatementCase Literal 28 LocalVariableDeclaration BasicType int VariableDeclarator LA17_29 MethodInvocation input Literal 1 LA End,7,3,2,1,3,3
2552,cassandra-all-2.2.18,SystemKeyspace,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,STYLE,2,1124,1124,false,MethodDeclaration Modifier public BasicType byte get IfStatement BinaryOperation == This MemberReference bytes Literal null BlockStatement End ReturnStatement This MemberReference bytes,8,3,3,7,6,4
2831,cassandra-all-3.0.22,ErrorMessage,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,STYLE,3,193,193,false,MethodDeclaration Modifier public BasicType int serializedSize FormalParameter ReferenceType IRowCacheEntry entry LocalVariableDeclaration BasicType int VariableDeclarator size MethodInvocation TypeSizes Literal true sizeof IfStatement BinaryOperation instanceof MemberReference entry ReferenceType RowCacheSentinel StatementExpression Assignment MemberReference size MethodInvocation sizeof += StatementExpression Assignment MemberReference size MethodInvocation CachedPartition.cacheSerializer Cast ReferenceType CachedPartition MemberReference entry serializedSize += End,12,10,5,5,5,5
4900,commons-bcel-c6d2ad474e4d1a4540e498e2798b6968022d182c,Class2HTML,DM_DEFAULT_ENCODING,I18N,1,220,220,false,,4,1,0,0,3,2
3582,cassandra-all-3.11.8,PropertyFileSnitch,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,2,214,214,false,,31,26,10,16,13,4
6034,flink-core-1.6.4,ResourceGuard,VO_VOLATILE_INCREMENT,MT_CORRECTNESS,2,89,89,false,,5,2,0,0,1,3
1732,cassandra-all-2.1.21,CliParser,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,2,4960,4960,false,MethodDeclaration Modifier public Annotation Override write FormalParameter Modifier final BasicType int ch IOException SynchronizedStatement MemberReference lock SwitchStatement MemberReference ch SwitchStatementCase Literal '\r' StatementExpression Assignment MemberReference state MemberReference LAST_WAS_CR_STATE = StatementExpression MethodInvocation output Literal '\r' write ReturnStatement SwitchStatementCase Literal '\n' IfStatement BinaryOperation != MemberReference state MemberReference LAST_WAS_CR_STATE BlockStatement StatementExpression MethodInvocation output Literal '\r' write End StatementExpression MethodInvocation output Literal '\n' write StatementExpression Assignment MemberReference state MemberReference LAST_WAS_NL_STATE = ReturnStatement SwitchStatementCase Literal '.' IfStatement BinaryOperation == MemberReference state MemberReference LAST_WAS_NL_STATE BlockStatement StatementExpression MethodInvocation output Literal '.' write End End,18,12,4,3,5,5
6621,hbase-common-1.6.0,AbstractByteRange,EI_EXPOSE_REP2,MALICIOUS_CODE,2,122,122,false,,6,2,1,0,2,2
3861,cassandra-all-4.0-beta2,CacheService,REC_CATCH_EXCEPTION,STYLE,3,132,132,false,,5,1,1,0,1,3
3570,cassandra-all-3.11.8,PasswordAuthenticator,PZLA_PREFER_ZERO_LENGTH_ARRAYS,STYLE,3,221,221,false,,3,1,0,0,1,3
6728,hbase-common-2.1.9,ChoreService,REC_CATCH_EXCEPTION,STYLE,3,164,164,false,,10,5,3,2,4,3
5225,commons-io-9980492ba364a78aa920d305ef8b15d069f5dd95,FileUtils,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,2,2045,2045,false,,5,2,1,2,3,3
6447,flink-core-1.9.0,StateDescriptor,REC_CATCH_EXCEPTION,STYLE,3,376,376,false,,8,4,3,0,4,3
4678,cassandra-all-4.0-beta2,YamlConfigurationLoader,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,STYLE,2,100,100,false,,5,2,1,1,2,2
2820,cassandra-all-3.0.22,DescribeCluster,WMI_WRONG_MAP_ITERATOR,PERFORMANCE,2,46,46,false,MethodDeclaration Modifier static public ReferenceType SSLSocket getSocket FormalParameter ReferenceType EncryptionOptions options IOException LocalVariableDeclaration ReferenceType SSLContext VariableDeclarator ctx MethodInvocation MemberReference options Literal true createSSLContext LocalVariableDeclaration ReferenceType SSLSocket VariableDeclarator socket Cast ReferenceType SSLSocket MethodInvocation ctx MethodInvocation createSocket getSocketFactory,7,3,1,5,2,3
225,camel-core-2.21.5,ManagedResequencer,NP_BOOLEAN_RETURN_NULL,BAD_PRACTICE,1,77,77,true,MethodDeclaration Modifier public Annotation Override BasicType int compareToReference FormalParameter ReferenceType TypeComparator TypeArgument ReferenceType T referencedComparator ReturnStatement MethodInvocation Cast ReferenceType PrimitiveArrayComparator TypeArgument ReferenceType T TypeArgument ReferenceType C MemberReference referencedComparator This MemberReference reference compare,7,3,2,0,3,3
1788,cassandra-all-2.1.21,CloudstackSnitch,REC_CATCH_EXCEPTION,STYLE,2,196,196,false,"MethodDeclaration Modifier private static ReferenceType String initialise FormalParameter ReferenceType Token currentToken FormalParameter BasicType int expectedTokenSequences FormalParameter ReferenceType String tokenImage LocalVariableDeclaration ReferenceType String VariableDeclarator eol MethodInvocation System Literal ""line.separator"" Literal ""\n"" getProperty LocalVariableDeclaration ReferenceType StringBuffer VariableDeclarator expected ClassCreator ReferenceType StringBuffer ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i MemberReference expectedTokenSequences length MemberReference ++ i BlockStatement IfStatement BinaryOperation < MemberReference maxSize MemberReference ArraySelector MemberReference i MemberReference length expectedTokenSequences BlockStatement StatementExpression Assignment MemberReference maxSize MemberReference ArraySelector MemberReference i MemberReference length expectedTokenSequences = End ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator j Literal 0 BinaryOperation < MemberReference j MemberReference ArraySelector MemberReference i MemberReference length expectedTokenSequences MemberReference ++ j BlockStatement StatementExpression MethodInvocation expected MethodInvocation Literal ' ' append MemberReference ArraySelector MemberReference ArraySelector MemberReference i ArraySelector MemberReference j expectedTokenSequences tokenImage append End IfStatement BinaryOperation != MemberReference ArraySelector MemberReference i ArraySelector BinaryOperation - MemberReference ArraySelector MemberReference i MemberReference length expectedTokenSequences Literal 1 expectedTokenSequences Literal 0 BlockStatement StatementExpression MethodInvocation expected Literal ""..."" append End StatementExpression MethodInvocation expected MethodInvocation Literal ""    "" append MemberReference eol append End LocalVariableDeclaration ReferenceType Token VariableDeclarator tok MemberReference currentToken next ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i MemberReference maxSize MemberReference ++ i BlockStatement IfStatement BinaryOperation != MemberReference i Literal 0 StatementExpression Assignment MemberReference retval Literal "" "" += End IfStatement BinaryOperation == MemberReference tok kind Literal 0 BlockStatement End StatementExpression Assignment MemberReference retval BinaryOperation + Literal "" "" MemberReference ArraySelector MemberReference tok kind tokenImage += StatementExpression Assignment MemberReference retval Literal "" \"""" += StatementExpression Assignment MemberReference retval MethodInvocation MemberReference tok image add_escapes += StatementExpression Assignment MemberReference retval Literal "" \"""" += StatementExpression Assignment MemberReference tok MemberReference tok next = End",8,5,1,1,2,3
872,camel-core-2.23.3,PublishEventNotifier,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,56,56,true,MethodDeclaration Modifier static public BasicType byte addFirst FormalParameter Modifier final BasicType byte array FormalParameter Modifier final BasicType byte element ReturnStatement TernaryExpression BinaryOperation == MemberReference array Literal null MethodInvocation MemberReference array MemberReference element add MethodInvocation Literal 0 MemberReference array MemberReference element insert,6,2,2,3,3,2
1330,camel-core-2.25.2,DefaultCamelContext,REC_CATCH_EXCEPTION,STYLE,3,1907,1907,false,MethodDeclaration Modifier protected ReferenceType Object doEvaluate FormalParameter ReferenceType Exchange exchange FormalParameter BasicType boolean closeStream TryStatement CatchClause CatchClauseParameter InvalidPayloadException e IfStatement MemberReference closeStream BlockStatement End,7,3,2,1,3,3
4779,commons-bcel-af0e5ef6784e2bc028b17a1f7dbc2cc5dd5c348f,JavaClass,EI_EXPOSE_REP,MALICIOUS_CODE,2,410,410,false,,3,1,0,0,1,2
5545,flink-core-1.10.0,DualInputOperator,BC_UNCONFIRMED_CAST,STYLE,3,103,103,false,,5,1,0,0,1,2
2629,cassandra-all-3.0.22,ChecksumType,BC_UNCONFIRMED_CAST,STYLE,3,39,39,false,MethodDeclaration Modifier static public BasicType int hash32 FormalParameter Modifier final BasicType byte data FormalParameter Modifier final BasicType int length FormalParameter Modifier final BasicType int seed LocalVariableDeclaration BasicType int VariableDeclarator h BinaryOperation ^ MemberReference seed MemberReference length LocalVariableDeclaration Modifier final BasicType int VariableDeclarator nblocks BinaryOperation >> MemberReference length Literal 2 ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i MemberReference nblocks MemberReference ++ i BlockStatement LocalVariableDeclaration BasicType int VariableDeclarator k MethodInvocation MemberReference data MemberReference index getLittleEndianInt StatementExpression Assignment MemberReference k MemberReference M32 *= StatementExpression Assignment MemberReference k BinaryOperation >>> MemberReference k MemberReference R32 ^= StatementExpression Assignment MemberReference k MemberReference M32 *= StatementExpression Assignment MemberReference h MemberReference M32 *= StatementExpression Assignment MemberReference h MemberReference k ^= End LocalVariableDeclaration Modifier final BasicType int VariableDeclarator index BinaryOperation << MemberReference nblocks Literal 2 SwitchStatement BinaryOperation - MemberReference length MemberReference index SwitchStatementCase Literal 3 StatementExpression Assignment MemberReference h BinaryOperation << BinaryOperation & MemberReference ArraySelector BinaryOperation + MemberReference index Literal 2 data Literal 0xff Literal 16 ^= SwitchStatementCase Literal 2 StatementExpression Assignment MemberReference h BinaryOperation << BinaryOperation & MemberReference ArraySelector BinaryOperation + MemberReference index Literal 1 data Literal 0xff Literal 8 ^= SwitchStatementCase Literal 1 StatementExpression Assignment MemberReference h BinaryOperation & MemberReference ArraySelector MemberReference index data Literal 0xff ^= StatementExpression Assignment MemberReference h MemberReference M32 *= End,4,0,0,0,0,0
209,camel-core-2.21.5,ManagedCamelContext,DM_DEFAULT_ENCODING,I18N,1,577,577,false,MethodDeclaration Modifier static public ReferenceType String tokenizeToStringArray FormalParameter ReferenceType String str FormalParameter ReferenceType String delimiters IfStatement BinaryOperation == MemberReference str Literal null BlockStatement ReturnStatement Literal null End,6,3,1,2,2,3
3147,cassandra-all-3.11.8,AbstractTokenTreeBuilder,UC_USELESS_CONDITION,STYLE,3,606,606,false,MethodDeclaration Modifier final Annotation Override ReferenceType DatagramPacket _newDatagram FormalParameter ReferenceType DatagramPacket datagram FormalParameter BasicType byte data StatementExpression Assignment MemberReference fileLength MethodInvocation _fileName length = StatementExpression MethodInvocation System MethodInvocation _fileName getBytes Literal 0 MemberReference data Literal 2 MemberReference fileLength arraycopy,6,2,2,0,4,4
2007,cassandra-all-2.1.21,LazilyCompactedRow,BC_UNCONFIRMED_CAST,STYLE,3,267,267,false,"MethodDeclaration Modifier public Annotation Override ReferenceType ServiceDiscovery newInstance FormalParameter ReferenceType CamelContext camelContext Exception StatementExpression MethodInvocation ObjectHelper MemberReference serviceDiscovery Literal ""ServiceDiscovery configuration"" notNull StatementExpression MethodInvocation ObjectHelper MemberReference timeout Literal ""CachingServiceDiscovery timeout"" notNull StatementExpression MethodInvocation ObjectHelper MemberReference units Literal ""CachingServiceDiscovery time units"" notNull ReturnStatement ClassCreator ReferenceType CachingServiceDiscovery MethodInvocation units MemberReference timeout toMillis",6,3,2,0,3,4
5523,flink-core-1.10.0,CharValueComparator,EI_EXPOSE_REP,MALICIOUS_CODE,2,125,125,false,,4,1,0,0,1,2
2851,cassandra-all-3.0.22,FunctionResolver,DM_CONVERT_CASE,I18N,3,46,46,false,MethodDeclaration Modifier static public ReferenceType SSLSocket getSocket FormalParameter ReferenceType EncryptionOptions options FormalParameter ReferenceType InetAddress address FormalParameter BasicType int port FormalParameter ReferenceType InetAddress localAddress FormalParameter BasicType int localPort IOException LocalVariableDeclaration ReferenceType SSLContext VariableDeclarator ctx MethodInvocation MemberReference options Literal true createSSLContext LocalVariableDeclaration ReferenceType SSLSocket VariableDeclarator socket Cast ReferenceType SSLSocket MethodInvocation ctx MethodInvocation MemberReference address MemberReference port MemberReference localAddress MemberReference localPort createSocket getSocketFactory,3,1,0,0,1,2
935,camel-core-2.23.3,TimerEndpoint,EI_EXPOSE_REP2,MALICIOUS_CODE,2,216,216,false,MethodDeclaration Modifier public Annotation Override close IOException TryStatement SynchronizedStatement MemberReference REAPER_THREAD_LOCK StatementExpression MemberReference -- GLOBAL_SAFETY_NET_REGISTRY_COUNT,3,1,0,0,1,2
2593,cassandra-all-3.0.22,BigTableWriter,BC_UNCONFIRMED_CAST,STYLE,3,213,213,false,MethodDeclaration Modifier public reserveInsist FormalParameter ReferenceType MemoryConsumer consumer FormalParameter BasicType int requestMB IfStatement BinaryOperation > MemberReference requestMB MemberReference totalBudgetMB ThrowStatement ClassCreator ReferenceType NotEnoughBudgetException End WhileStatement Literal true BlockStatement TryStatement StatementExpression MethodInvocation MemberReference consumer MemberReference requestMB reserve CatchClause CatchClauseParameter NotEnoughBudgetException ex End,7,3,2,2,3,4
4289,cassandra-all-4.0-beta2,FastByteOperations,RV_NEGATING_RESULT_OF_COMPARETO,BAD_PRACTICE,2,65,65,false,,3,1,0,1,1,2
3817,cassandra-all-4.0-beta2,AtomicBTreePartition,PZLA_PREFER_ZERO_LENGTH_ARRAYS,STYLE,3,152,152,false,,8,5,2,3,4,3
4419,cassandra-all-4.0-beta2,Operator,BC_UNCONFIRMED_CAST,STYLE,3,139,139,false,,7,1,2,0,1,2
1615,cassandra-all-2.1.21,BytesToken,EI_EXPOSE_REP,MALICIOUS_CODE,2,78,78,false,MethodDeclaration Modifier public Annotation Override BasicType byte getQualifierArray ReturnStatement MemberReference bytes,4,1,0,0,1,2
2929,cassandra-all-3.0.22,NodeTool,DM_DEFAULT_ENCODING,I18N,1,206,206,false,MethodDeclaration Modifier public ReferenceType String getPartitionKeys FormalParameter ReferenceType String location FormalParameter ReferenceType Job job IOException IfStatement MemberReference ! usePartitionFilter ReturnStatement End LocalVariableDeclaration ReferenceType List TypeArgument ReferenceType ColumnDef VariableDeclarator indexes MethodInvocation getIndexes LocalVariableDeclaration ReferenceType String VariableDeclarator partitionKeys ArrayCreator ReferenceType String MethodInvocation indexes size ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i MethodInvocation indexes size MemberReference ++ i BlockStatement StatementExpression Assignment MemberReference ArraySelector MemberReference i partitionKeys ClassCreator ReferenceType String MethodInvocation indexes MethodInvocation getName MemberReference i get = End,7,4,2,1,5,2
2777,cassandra-all-3.0.22,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,7619,7626,false,MethodDeclaration Modifier private BasicType boolean updateBookingWithDelta FormalParameter ReferenceType MemoryConsumer consumer FormalParameter BasicType int delta IfStatement BinaryOperation == MemberReference delta Literal 0 ReturnStatement End LocalVariableDeclaration ReferenceType ConsumerEntry VariableDeclarator entry MethodInvocation booking MemberReference consumer get IfStatement BinaryOperation == MemberReference entry Literal null BlockStatement IfStatement BinaryOperation <= MemberReference delta Literal 0 ReturnStatement End End IfStatement BinaryOperation > MemberReference delta Literal 0 BlockStatement LocalVariableDeclaration BasicType int VariableDeclarator gap BinaryOperation - MemberReference delta BinaryOperation - MemberReference totalBudgetMB MemberReference totalReservedMB IfStatement BinaryOperation > MemberReference gap Literal 0 ReturnStatement End End IfStatement BinaryOperation < MemberReference delta Literal 0 BlockStatement SynchronizedStatement MemberReference lock End,21,13,5,5,5,7
432,camel-core-2.22.5,DefaultManagementObjectStrategy,BC_UNCONFIRMED_CAST,STYLE,3,363,363,false,MethodDeclaration Modifier final public setAnnotationTable FormalParameter Modifier final ReferenceType AnnotationEntry annotation_table StatementExpression Assignment This MemberReference annotation_table MemberReference annotation_table =,135,120,61,10,62,6
4909,commons-bcel-c6d2ad474e4d1a4540e498e2798b6968022d182c,ExceptionTable,EI_EXPOSE_REP,MALICIOUS_CODE,2,114,114,false,,3,1,0,0,1,2
252,camel-core-2.21.5,PredicateValidatorDefinition,SIO_SUPERFLUOUS_INSTANCEOF,CORRECTNESS,3,67,67,true,"MethodDeclaration Modifier private ReferenceType Message ReferenceType Request parseLine FormalParameter ReferenceType String line LocalVariableDeclaration ReferenceType Splitter VariableDeclarator splitter MethodInvocation Splitter MethodInvocation trimResults MethodInvocation omitEmptyStrings Literal ' ' on LocalVariableDeclaration ReferenceType Iterator TypeArgument ReferenceType String VariableDeclarator iter MethodInvocation splitter MethodInvocation iterator MemberReference line split IfStatement MethodInvocation ! iter hasNext ReturnStatement End LocalVariableDeclaration ReferenceType String VariableDeclarator msgType MethodInvocation iter MethodInvocation toUpperCase next IfStatement MethodInvocation msgType Literal ""STARTUP"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""QUERY"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""PREPARE"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""EXECUTE"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""OPTIONS"" equals BlockStatement End End End End End",5,2,2,0,3,2
2588,cassandra-all-3.0.22,AutoSavingCache,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,2,378,378,false,MethodDeclaration Modifier public Annotation Override test FormalParameter ReferenceType ManagedRouteMBean counter FormalParameter ReferenceType HealthCheckResultBuilder builder FormalParameter ReferenceType Map TypeArgument ReferenceType String TypeArgument ReferenceType Object options TryStatement LocalVariableDeclaration BasicType long VariableDeclarator value MethodInvocation counter getMinProcessingTime IfStatement BinaryOperation > MemberReference value MemberReference timeThreshold BlockStatement StatementExpression MemberReference ++ failureCount End CatchClause CatchClauseParameter Exception e,6,3,1,3,2,3
931,camel-core-2.23.3,Timeout,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,82,82,true,MethodDeclaration Modifier public calculatePendingRanges FormalParameter ReferenceType AbstractReplicationStrategy strategy FormalParameter ReferenceType String keyspaceName SynchronizedStatement MemberReference pendingRanges,4,1,0,1,1,2
3831,cassandra-all-4.0-beta2,BigTableWriter,BC_UNCONFIRMED_CAST,STYLE,3,330,330,false,,9,6,2,2,3,2
6596,hbase-common-1.4.12,OrderedBytes,DB_DUPLICATE_SWITCH_CLAUSES,STYLE,3,1709,1710,false,,10,7,3,5,3,4
1505,camel-core-2.25.2,RoutePerformanceCounterEvaluators,REC_CATCH_EXCEPTION,STYLE,3,251,251,false,MethodDeclaration Modifier final public ReferenceType ModificationStatement ReferenceType Parsed insertStatement RecognitionException TryStatement BlockStatement StatementExpression MethodInvocation MemberReference input MemberReference K_INSERT MemberReference FOLLOW_K_INSERT_in_insertStatement3066 match IfStatement MemberReference state failed ReturnStatement MemberReference expr End CatchClause CatchClauseParameter RecognitionException re,6,2,1,0,2,3
4362,cassandra-all-4.0-beta2,Message,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,STYLE,3,717,717,false,,7,3,1,0,1,3
6965,kylin-core-common-2.6.4,PerfLogger,DM_NUMBER_CTOR,PERFORMANCE,2,47,47,false,,4,2,0,2,1,2
1781,cassandra-all-2.1.21,CliParser,SF_SWITCH_NO_DEFAULT,STYLE,2,8716,8768,false,MethodDeclaration Modifier private returnXMLOutputFactory FormalParameter ReferenceType XMLOutputFactory factory IfStatement BinaryOperation != MemberReference factory MemberReference outputFactory BlockStatement StatementExpression MethodInvocation OUTPUT_FACTORY_POOL MemberReference factory offer End,70,48,23,18,19,8
2310,cassandra-all-2.2.18,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,504,872,false,MethodDeclaration Modifier static public ReferenceType String unresolvedHostToNormalizedString FormalParameter ReferenceType String host IfStatement BinaryOperation == MemberReference host Literal null BlockStatement BlockStatement StatementExpression Assignment MemberReference host MethodInvocation host MethodInvocation toLowerCase trim = End,266,189,76,75,40,6
6210,flink-core-1.8.0,PojoFieldUtils,DP_DO_INSIDE_DO_PRIVILEGED,MALICIOUS_CODE,3,84,84,false,,10,5,2,2,3,4
387,camel-core-2.22.5,BundleTracker,PZLA_PREFER_ZERO_LENGTH_ARRAYS,STYLE,3,287,287,false,"MethodDeclaration Modifier static public Annotation SuppressWarnings Literal ""resource"" ReferenceType SSLContext createSSLContext FormalParameter ReferenceType EncryptionOptions options FormalParameter BasicType boolean buildTruststore IOException TryStatement IfStatement MemberReference buildTruststore BlockStatement StatementExpression Assignment MemberReference tsf ClassCreator ReferenceType FileInputStream MemberReference options truststore = End CatchClause CatchClauseParameter Exception e StatementExpression MethodInvocation FileUtils MemberReference tsf closeQuietly",6,3,1,1,2,3
2081,cassandra-all-2.1.21,SerializingCacheProvider,BC_UNCONFIRMED_CAST,STYLE,3,47,47,false,"MethodDeclaration Modifier static public ReferenceType Collection TypeArgument ReferenceType SSTableReader openAll FormalParameter ReferenceType Set TypeArgument ReferenceType Map ReferenceType Entry TypeArgument ReferenceType Descriptor TypeArgument ReferenceType Set TypeArgument ReferenceType Component entries FormalParameter Modifier final ReferenceType CFMetaData metadata LocalVariableDeclaration ReferenceType ExecutorService VariableDeclarator executor MethodInvocation DebuggableThreadPoolExecutor Literal ""SSTableBatchOpen"" MethodInvocation FBUtilities getAvailableProcessors createWithFixedPoolSize ForStatement EnhancedForControl VariableDeclaration Modifier final ReferenceType Map ReferenceType Entry TypeArgument ReferenceType Descriptor TypeArgument ReferenceType Set TypeArgument ReferenceType Component VariableDeclarator entry MemberReference entries BlockStatement LocalVariableDeclaration ReferenceType Runnable VariableDeclarator runnable ClassCreator ReferenceType Runnable StatementExpression MethodInvocation executor MemberReference runnable submit End",9,7,2,3,3,3
6325,flink-core-1.9.0,DualInputOperator,EI_EXPOSE_REP,MALICIOUS_CODE,2,266,266,false,,6,2,1,0,2,3
3686,cassandra-all-3.11.8,SSTableHeaderFix,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,2,476,476,false,,12,8,4,6,5,4
